Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2023/1/3 10:00 PM,34 °F,28 °F,81 %,W,7 mph,0 mph,29.27 in,0.0 in,Cloudy,1.1111111111111112,3.12928,99119.6353
2023/1/3 11:00 PM,34 °F,28 °F,81 %,W,8 mph,0 mph,29.27 in,0.0 in,Cloudy,1.1111111111111112,3.57632,99119.6353
2023/1/3 12:00 AM,34 °F,28 °F,81 %,W,9 mph,0 mph,29.27 in,0.0 in,Cloudy,1.1111111111111112,4.02336,99119.6353
2023/1/4 1:00 AM,34 °F,27 °F,75 %,W,7 mph,0 mph,29.26 in,0.0 in,Cloudy,1.1111111111111112,3.12928,99085.7714
2023/1/4 2:00 AM,34 °F,27 °F,75 %,WNW,12 mph,0 mph,29.25 in,0.0 in,Cloudy,1.1111111111111112,5.36448,99051.9075
2023/1/4 3:00 AM,32 °F,27 °F,80 %,NW,9 mph,0 mph,29.27 in,0.0 in,Cloudy,0.0,4.02336,99119.6353
2023/1/4 4:00 AM,30 °F,25 °F,80 %,WNW,8 mph,0 mph,29.27 in,0.0 in,Cloudy,-1.1111111111111112,3.57632,99119.6353
2023/1/4 5:00 AM,30 °F,27 °F,86 %,W,7 mph,0 mph,29.27 in,0.0 in,Cloudy,-1.1111111111111112,3.12928,99119.6353
2023/1/4 6:00 AM,30 °F,25 °F,80 %,WNW,12 mph,0 mph,29.30 in,0.0 in,Cloudy,-1.1111111111111112,5.36448,99221.227
2023/1/4 7:00 AM,28 °F,21 °F,74 %,NW,12 mph,0 mph,29.31 in,0.0 in,Cloudy,-2.2222222222222223,5.36448,99255.0909
2023/1/4 8:00 AM,28 °F,21 °F,74 %,WNW,14 mph,0 mph,29.35 in,0.0 in,Cloudy,-2.2222222222222223,6.25856,99390.5465
2023/1/4 9:00 AM,25 °F,19 °F,80 %,NNW,14 mph,0 mph,29.36 in,0.0 in,Cloudy,-3.888888888888889,6.25856,99424.4104
2023/1/4 9:16 AM,25 °F,19 °F,80 %,NW,15 mph,0 mph,29.37 in,0.0 in,Cloudy,-3.888888888888889,6.7056,99458.2743
2023/1/4 10:00 AM,23 °F,18 °F,80 %,NW,12 mph,0 mph,29.39 in,0.0 in,Cloudy,-5.0,5.36448,99526.0021
2023/1/4 11:00 AM,21 °F,12 °F,68 %,NW,16 mph,22 mph,29.43 in,0.0 in,Cloudy,-6.111111111111111,7.15264,99661.4577
2023/1/4 12:00 PM,19 °F,12 °F,74 %,W,12 mph,0 mph,29.46 in,0.0 in,Mostly Cloudy,-7.222222222222222,5.36448,99763.0494
2023/1/4 1:00 PM,23 °F,12 °F,63 %,WNW,15 mph,0 mph,29.48 in,0.0 in,Partly Cloudy,-5.0,6.7056,99830.7772
2023/1/4 2:00 PM,23 °F,10 °F,59 %,WNW,15 mph,0 mph,29.47 in,0.0 in,Partly Cloudy,-5.0,6.7056,99796.91329999999
2023/1/4 3:00 PM,21 °F,10 °F,63 %,WNW,13 mph,0 mph,29.50 in,0.0 in,Partly Cloudy,-6.111111111111111,5.81152,99898.50499999999
2023/1/4 4:00 PM,19 °F,9 °F,63 %,WNW,10 mph,0 mph,29.53 in,0.0 in,Mostly Cloudy,-7.222222222222222,4.4704,100000.0967
2023/1/4 5:00 PM,18 °F,7 °F,63 %,W,10 mph,0 mph,29.55 in,0.0 in,Partly Cloudy,-7.777777777777778,4.4704,100067.8245
2023/1/4 6:00 PM,14 °F,7 °F,73 %,W,8 mph,0 mph,29.57 in,0.0 in,Mostly Cloudy,-10.0,3.57632,100135.5523
2023/1/4 7:00 PM,14 °F,5 °F,67 %,W,9 mph,0 mph,29.61 in,0.0 in,Mostly Cloudy,-10.0,4.02336,100271.0079
2023/1/4 8:00 PM,14 °F,1 °F,57 %,W,10 mph,0 mph,29.63 in,0.0 in,Mostly Cloudy,-10.0,4.4704,100338.73569999999
2023/1/4 9:00 PM,10 °F,1 °F,67 %,W,6 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy,-12.222222222222221,2.68224,100372.5996
2023/1/4 10:00 PM,10 °F,1 °F,67 %,W,5 mph,0 mph,29.63 in,0.0 in,Mostly Cloudy,-12.222222222222221,2.2352,100338.73569999999
2023/1/4 11:00 PM,9 °F,1 °F,73 %,SSW,2 mph,0 mph,29.63 in,0.0 in,Mostly Cloudy,-12.777777777777779,0.89408,100338.73569999999
2023/1/4 12:00 AM,9 °F,1 °F,73 %,S,5 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy,-12.777777777777779,2.2352,100474.1913
2023/1/5 1:00 AM,9 °F,1 °F,73 %,CALM,0 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy,-12.777777777777779,0.0,100440.3274
2023/1/5 2:00 AM,9 °F,3 °F,79 %,ESE,8 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy,-12.777777777777779,3.57632,100372.5996
2023/1/5 3:00 AM,10 °F,3 °F,73 %,ESE,14 mph,0 mph,29.63 in,0.0 in,Mostly Cloudy,-12.222222222222221,6.25856,100338.73569999999
2023/1/5 4:00 AM,10 °F,1 °F,67 %,E,15 mph,0 mph,29.62 in,0.0 in,Cloudy,-12.222222222222221,6.7056,100304.8718
2023/1/5 5:00 AM,10 °F,1 °F,67 %,E,15 mph,0 mph,29.64 in,0.0 in,Cloudy,-12.222222222222221,6.7056,100372.5996
2023/1/5 6:00 AM,10 °F,1 °F,67 %,E,21 mph,0 mph,29.63 in,0.0 in,Cloudy / Windy,-12.222222222222221,9.38784,100338.73569999999
2023/1/5 7:00 AM,10 °F,3 °F,73 %,E,16 mph,0 mph,29.62 in,0.0 in,Cloudy,-12.222222222222221,7.15264,100304.8718
2023/1/5 8:00 AM,10 °F,3 °F,73 %,E,15 mph,0 mph,29.62 in,0.0 in,Cloudy,-12.222222222222221,6.7056,100304.8718
2023/1/5 9:00 AM,10 °F,3 °F,73 %,E,16 mph,23 mph,29.63 in,0.0 in,Cloudy,-12.222222222222221,7.15264,100338.73569999999
2023/1/5 10:00 AM,10 °F,5 °F,79 %,E,17 mph,23 mph,29.64 in,0.0 in,Cloudy,-12.222222222222221,7.59968,100372.5996
2023/1/5 11:00 AM,12 °F,5 °F,73 %,E,20 mph,25 mph,29.65 in,0.0 in,Cloudy,-11.11111111111111,8.9408,100406.4635
2023/1/5 11:16 AM,12 °F,5 °F,73 %,E,20 mph,25 mph,29.64 in,0.0 in,Light Snow,-11.11111111111111,8.9408,100372.5996
2023/1/5 11:25 AM,12 °F,7 °F,79 %,E,20 mph,25 mph,29.64 in,0.0 in,Light Snow,-11.11111111111111,8.9408,100372.5996
2023/1/5 11:33 AM,12 °F,7 °F,79 %,E,22 mph,28 mph,29.63 in,0.0 in,Light Snow / Windy,-11.11111111111111,9.83488,100338.73569999999
2023/1/5 12:00 PM,12 °F,7 °F,79 %,E,17 mph,24 mph,29.62 in,0.0 in,Light Snow,-11.11111111111111,7.59968,100304.8718
2023/1/5 1:00 PM,12 °F,9 °F,85 %,E,18 mph,24 mph,29.57 in,0.0 in,Light Snow,-11.11111111111111,8.04672,100135.5523
